name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc
DALIO,0xc0ab956f36d36f6c1fe4f50450407a832ad911f3,0x01738bd394579f1ca81acc8f57c49d58262ec8ec,2359.812492,0.0,,2024-11-09T17:09:55.262000+00:00,False,False,0.0,0.0,0.0,2661.312492,-2883.5316839999996,1033.189837997653,50,0.47988911838243287,0.04696162626372432,0.0,0.051636047396456136,0.8017175779976085,0.797695401674095,0.28035656049570606,0.0,0.34410854934824936,66,2026-03-07T21:46:50.299845+00:00
Elsewhere,0x8fc7c0442e582bca195978c5a4fdec2e7c5bb0f7,0xf5d0308ac17a33e666326df43788afaa4100b9eb,538822.5682,0.7383754483696652,,2024-07-05T11:49:11.099000+00:00,False,False,-1711.062811,10957.271947,31375.798377,531421.0482,-1574892.100987,496721.4471260261,47,0.014784215675616915,0.0034786389824980977,0.0,0.00195673442765518,0.9982606805087509,0.9985868029133601,0.9836395260354386,0.0,0.343200594926326,67,2026-03-07T21:46:50.299845+00:00
YEELON,0xf6f3d773e11023e3e686cbda883ecba631fefc15,0x05420ff3c26c463c4e253bb8d0b92d24a467b4b1,19618.669876,0.0,,2025-01-16T13:33:38.583000+00:00,False,False,0.0,0.0,0.0,9105.449876,-3552.774272,2396.22488929069,50,0.47988911838243287,0.01858897706272421,0.0,0.02978584628763996,0.819219480378302,0.8667246439830416,0.28035656049570606,0.0,0.34200110683967627,68,2026-03-07T21:46:50.299845+00:00
Fadorador,0xb8f43ee0513e53309b9d6d6a42dce8fdb694b04d,0x91cac3875d31b3bb4d4fc64b62544804c6b22538,2398.375769,0.0,,2025-01-21T20:39:18.382000+00:00,False,False,0.0,0.0,0.0,1339.905769,-1346.10653,734.6240476517221,50,0.47988911838243287,0.04663550385911512,0.0,0.06478965104902706,0.7385585389716274,0.766170235895206,0.28035656049570606,0.0,0.3355527774758126,69,2026-03-07T21:46:50.299845+00:00
30 Under 30,0x217106b611164c8cb27686ce9aa7dc3d6f0e1aae,0x14992c7298c267b14da9e3832a94346952d6c435,1067.69856,0.0,,2024-12-18T03:56:51.576000+00:00,False,False,0.0,0.0,0.0,411.82856,-873.515727,461.637573267407,50,0.47988911838243287,0.060767474725513644,0.0,0.09566257201869768,0.6946407218175888,0.723013371018589,0.28035656049570606,0.0,0.3355478362272579,70,2026-03-07T21:46:50.299845+00:00
Symphony,0x9114a5161f18739ced233190861ea275c8b3a99b,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,323982.587803,0.042474021311984585,,2025-08-30T21:23:59.954000+00:00,False,False,603.746947,2501.690636,1397.192577,54409.057803,-44207.599024,23023.970164851147,48,0.03054679856506142,0.004674421132731818,0.0,0.011088161756712686,0.9574953799326014,0.9680400043482987,0.8910751168605283,0.0,0.33024834715235846,71,2026-03-07T21:46:50.299845+00:00
69 Jump Street,0xa844d7ac9fa3424c4fd38a25baa23e460ec3e802,0x84803dc3df988d5493d9be2ee75e36f0043ee272,524094.24476,0.24170315111288407,,2025-01-17T04:56:19.488000+00:00,False,False,-262.789905,-3140.880931,12821.058575,141809.43476,-71072.22360900001,32631.086208793135,48,0.024785302750298947,0.003587346450701163,0.0,0.005978910751168605,0.9699967387759539,0.9757582345907164,0.8910751168605283,0.0,0.3299617547361867,72,2026-03-07T21:46:50.299845+00:00
Wonderland,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,0x228ed7bff391e92ba3ddcbcda8db7a0134ef2587,157430.589059,9.396891031510316,,2025-07-14T20:54:36.662000+00:00,False,False,3728.136439,59488.087122,69142.348298,32647.269059,-41328.440307,25128.658249762484,48,0.0004348298728122622,0.006413740623980867,0.0,0.016306120230459832,0.9555386455049462,0.9704315686487661,0.8910751168605283,0.0,0.3248969749676348,73,2026-03-07T21:46:50.299845+00:00
Not In Employment Education or Training,0x4cb5f4d145cd16460932bbb9b871bb6fd5db97e3,0xbd9c944dcfb31cd24c81ebf1c974d950f44e42b8,5704585.623873,3.3765320750969536,,2025-11-17T16:42:47.693000+00:00,False,False,-15650.740184,603191.86711,1252669.733336,2368104.033873,-72236.93625299993,202829.66263871497,48,0.00195673442765518,0.0007609522774214588,0.0,0.0005435373410153277,0.9703228611805631,0.9944559191216437,0.8910751168605283,0.0,0.3247042662740021,74,2026-03-07T21:46:50.299845+00:00
JizzJazz,0x82eba5dc675279cb5967952f0c4b5184505eb17c,0xe45e4fc1dbd8ab1c554c8a2bd7fa752d1e53bb35,146465.404599,0.09486829473357211,,2024-04-12T21:53:16.537000+00:00,False,False,460.531104,532.245632,2849.495793,25140.124599,-15315.840353,8135.943256642226,48,0.028698771605609304,0.006957277964996195,0.0,0.018154147189911946,0.9160778345472333,0.9322752473094902,0.8910751168605283,0.0,0.3230020061469132,75,2026-03-07T21:46:50.299845+00:00
