name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank,cluster_id,cluster_name
Shyguy Vault,0x8368d05709a82d1ac2100a642006fc85a13a8bf6,0x552b6ad871f27a9729162c18d769050363f2d57e,1266.00343,0.7073067305896218,,2024-01-28T23:03:13.111000+00:00,False,False,-0.986441,-22.388688,70.467548,1377.49343,-23208.572751,12450.42004699729,49,0.0243478260869565,0.0583695652173913,0.0,0.0643478260869565,0.933695652173913,0.949891304347826,0.5299456521739131,0.0,0.3059943181818182,92,2026-03-08T03:40:48.086019+00:00,Shyguy Vault,0x552b6ad871f27a9729162c18d769050363f2d57e,0.7077403436729305,,0.8012407415002023,0.1,1141.240196,0.0,True,False,False,40,1266.04663,13,1266.04663,62,1266.04663,44,1266.04663,76,0.0,0.5164609053497943,0.5020746887966805,0.0802469135802469,0.3139825306381395,144,2,Steady Grinder C2
Profit Gambit,0xa877d8ba0fc2f3facd95c73acd24a44ab1ae2838,0xc2cdf392ce2a67df8773493a2f12f17db16a98bb,2319.892571,0.7360313092098766,,2025-06-27T08:32:27.318000+00:00,False,False,0.0,380.817522,134.605242,1220.222571,-595.004,345.4018159865012,49,0.0238043478260869,0.0472826086956521,0.0,0.067391304347826,0.6541304347826087,0.6931521739130435,0.5299456521739131,0.0,0.2428322628458498,152,2026-03-08T03:40:48.086019+00:00,Profit Gambit,0xc2cdf392ce2a67df8773493a2f12f17db16a98bb,0.7360313092098766,,0.3831955223658055,0.1,2058.929188,0.0,True,False,False,154,2319.892571,13,2319.892571,63,2319.892571,45,2319.892571,45,0.0,0.5164609053497943,0.5020746887966805,0.5534979423868313,0.3139360920168216,145,2,Steady Grinder C2
hidden marko fund,0xc497f1f8840dd65affbab1a610b6e558844743d4,0x0635aedc940be2f3961a6b98df118d26e1d2095b,154559.062556,3.0372124962003397,,2025-07-15T18:37:17.582000+00:00,False,False,6718.628393,7972.485197,31244.95373,18987.972556,-45632.224335,21628.950614850197,52,0.0063043478260869,0.0066304347826086,0.0,0.021195652173913,0.9582608695652174,0.9669565217391304,0.0088043478260869,0.0,0.2271837944664031,173,2026-03-08T03:40:48.086019+00:00,hidden marko fund,0x0635aedc940be2f3961a6b98df118d26e1d2095b,3.0242951496269015,,0.9986624708103355,0.1,127734.025646,0.0,True,False,False,222,154426.176926,14,154426.176926,63,154426.176926,46,154426.176926,43,0.0,0.5164609053497943,0.5020746887966805,0.6707818930041153,0.313928135793965,146,1,Steady Grinder C1
Trading Strategy - IchiV3 LS,0x3df9769bbbb335340872f01d8157c779d73c6ed0,0x6389c448e4adebf770590142b685402449b9eab2,25889.0046,0.5634066098484939,,2025-11-22T11:17:33.902000+00:00,False,False,354.198426,799.802908,1160.993731,1420.8146,-1729.394121,809.6235303412068,52,0.0267391304347826,0.0164130434782608,0.0,0.0633695652173913,0.7609782608695652,0.7760869565217391,0.0088043478260869,0.0,0.1991600790513833,193,2026-03-08T03:40:48.086019+00:00,Trading Strategy - IchiV3 LS,0x6389c448e4adebf770590142b685402449b9eab2,0.5507594442654319,,0.18014605087345,0.1,12598.624942,0.0,True,False,False,28,25862.942996,13,25862.942996,65,25862.942996,48,25862.942996,38,0.0,0.5164609053497943,0.5020746887966805,0.8765432098765432,0.313486480919943,147,2,Steady Grinder C2
Templo Capital 2,0xa04cc046c32dc706c65324ae6352d3d78e0c2013,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,40421.554929,4.027687676945266,,2025-06-12T14:51:54.586000+00:00,False,False,168.253785,-502.301557,20953.899335,125219.964929,-30029.58260899999,25640.867906335618,50,0.0032608695652173,0.0132608695652173,0.0,0.0063043478260869,0.9435869565217392,0.971304347826087,0.2215217391304347,0.0,0.2470306324110672,143,2026-03-08T03:40:48.086019+00:00,Templo Capital 2,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,4.027724198102803,,0.5931006411414794,0.1,40253.13948,0.0,False,False,False,48,40421.744929,13,40421.744929,63,40421.744929,45,40421.744929,46,0.0,0.5164609053497943,0.5020746887966805,0.51440329218107,0.3131754041701586,148,1,Steady Grinder C1
Slow Stable,0x960cebcba55d6d282d9000e355e6ddbad6734cff,0xa135f4d9b714e63d1406aed140c215598b003118,2618.558121,0.8482495877810261,,2026-01-13T11:57:54.283000+00:00,False,False,-8.918661,-4.873742,179.584584,620.128121,-11.141499000000069,123.08066332712193,48,0.0215217391304347,0.0452173913043478,0.0,0.0830434782608695,0.348695652173913,0.5666304347826087,0.8202717391304348,0.0,0.2252877964426877,177,2026-03-08T03:40:48.086019+00:00,Slow Stable,0xa135f4d9b714e63d1406aed140c215598b003118,0.847983849371049,,0.9999999996872322,0.1,2423.585177,0.0,True,False,False,11,2618.501861,12,2618.501861,62,2618.501861,44,2618.501861,43,0.0,0.5164609053497943,0.5020746887966805,0.6707818930041153,0.3125061372761785,149,2,Steady Grinder C2
Hyperliquid Evergreen,0x595b9ab3c79e0e784b8945e0bbd8195ed84e78fa,0xc774df28c4e5977ee6841c7fdd14287f8c3a45ac,2950.70351,0.1117946446834556,,2026-01-04T15:06:08.972000+00:00,False,False,-0.768082,5.572823,29.145959,57.66351,-1.8112430000000048,8.071035869580514,48,0.0407608695652173,0.0433695652173913,0.0,0.1488043478260869,0.3142391304347826,0.2758695652173913,0.8202717391304348,0.0,0.2130965909090909,184,2026-03-08T03:40:48.086019+00:00,Hyperliquid Evergreen,0xc774df28c4e5977ee6841c7fdd14287f8c3a45ac,0.1119884847339314,,0.8638104111592347,0.1,2834.987903,0.0,True,False,False,27,2950.754046,13,2950.754046,61,2950.754046,44,2950.754046,42,0.0,0.5164609053497943,0.5020746887966805,0.7325102880658436,0.3095355726321537,150,2,Steady Grinder C2
Prudentia Asset Management,0x58be3403f05d25f224593717feb69f175973bbb4,0x69e0d05f2e469da10e4192eaf228dfb34d2c5d4a,1024.87962,0.29855544,,2026-02-07T12:03:54.656000+00:00,False,False,0.0,12.509197,24.87962,24.87962,-5.665830000000001,5.2841007774774225,48,0.0330434782608695,0.0616304347826087,0.0,0.1722826086956521,0.3319565217391304,0.2560869565217391,0.8202717391304348,0.0,0.2210313735177866,182,2026-03-08T03:40:48.086019+00:00,Prudentia Asset Management,0x69e0d05f2e469da10e4192eaf228dfb34d2c5d4a,0.29855544,,1.0,0.1,924.87962,0.0,True,False,False,161,1024.87962,13,1024.87962,61,1024.87962,43,1024.87962,43,0.0,0.5164609053497943,0.5020746887966805,0.6707818930041153,0.3093138200825027,151,2,Steady Grinder C2
UpDown Fund,0xa5b1bf0579eb8463be37f5496e3e8878a63c5da2,0x6eefbfb09cdc6d0e44130b6ee355c61352b5ac96,2695.430819,0.0937964231370605,,2025-05-20T15:52:34.183000+00:00,False,False,11.838955,-6.508424,20.905079,566.600819,-128.058405,153.24772026767627,48,0.0416304347826086,0.0447826086956521,0.0,0.0857608695652173,0.5093478260869565,0.5960869565217392,0.8202717391304348,0.0,0.2549715909090909,136,2026-03-08T03:40:48.086019+00:00,UpDown Fund,0x6eefbfb09cdc6d0e44130b6ee355c61352b5ac96,0.085922888145395,,0.9425243081465242,0.1,2498.205737,0.0,True,False,False,24,2693.675988,13,2693.675988,63,2693.675988,45,2693.675988,50,0.0,0.5164609053497943,0.5020746887966805,0.397119341563786,0.307402727981948,152,2,Steady Grinder C2
Berserker Capital,0x74469b37ec1bb781d62ad69b148107974826b132,0x34a02b19146e2774ee295c2eefb22ccc0ab49538,3219.817704,3.280318139682038,,2026-03-07T07:22:03.983000+00:00,False,False,691.217704,691.217704,691.217704,691.217704,-533.652494,211.9737102877827,52,0.0053260869565217,0.0420652173913043,0.0,0.0801086956521739,0.6444565217391305,0.6325,0.0088043478260869,0.0,0.1744021739130434,221,2026-03-08T03:40:48.086019+00:00,Berserker Capital,0x34a02b19146e2774ee295c2eefb22ccc0ab49538,3.341193367080598,,1.0,0.1,3132.645129,0.0,True,False,False,31,3232.645129,16,3232.645129,12,3232.645129,8,3232.645129,16,0.0,0.5164609053497943,0.5020746887966805,1.0,0.3072637310785338,153,2,Steady Grinder C2
