name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank
Volatility Farm,0x86e64df33ad85456a7ca5d7363bfa6479f87d861,0x7e5db68598b899cb6684e5e8d4c8147bb4a06f50,6771.058533,3.026594318749237,,2026-03-06T15:47:57.607000+00:00,False,False,1126.986509,1363.798533,1363.798533,1363.798533,-944.278362,432.0225345992391,56,0.0034737299174989,0.0303951367781155,0.0,0.0644811115935736,0.7053842813721233,0.715914025184542,0.0005427702996092,0.0,0.1829950065132435,211,2026-03-11T07:32:53.868260+00:00,Volatility Farm,0x7e5db68598b899cb6684e5e8d4c8147bb4a06f50,3.1885182010852073,,0.375913344886138,0.1,2200.192793,0.0,True,False,False,40.0,6844.022244,13.0,6844.022244,47.0,6844.022244,16.0,6844.022244,48.0,0.0,0.514,0.5020325203252033,0.488,0.2623085313076969,214
LowRiskCryptoGainer,0xd57c9295947b5a616a3933344ef03a1ad67318ea,0xffc8abcd5170b6c106695c8a4a795596b3015542,144154.511305,0.1958172838084753,,2024-08-14T14:00:36.411000+00:00,False,False,95.896947,407.220855,2315.355409,15319.031305,-398.87473300000056,3120.3296718664487,49,0.0285497177594442,0.0067303517151541,0.0,0.0230134607034303,0.6138732088580113,0.8866695614415979,0.5427160225792445,0.0,0.2390841491335412,145,2026-03-11T07:32:53.868260+00:00,LowRiskCryptoGainer,0xffc8abcd5170b6c106695c8a4a795596b3015542,0.194577216573472,,0.06180406137284156,0.1,134448.649669,0.0,True,True,False,32.0,144139.848675,13.0,144139.848675,63.0,144139.848675,45.0,144139.848675,85.0,0.0,0.514,0.5020325203252033,0.052,0.26077538827292013,215
BULBUL2DAO,0x65aee08c9235025355ac6c5ad020fb167ecef4fe,0xf230daae38627c46367334a7494dc37861b4d3ef,96552.947573,1.3518762378389917,,2024-12-16T22:01:41.194000+00:00,False,False,-19.337571,4113.814064,10684.162386,75614.927573,-82443.989926,33923.619280573614,52,0.0085757707338254,0.0086843247937472,0.0,0.0085757707338254,0.9722101606600086,0.9765523230568824,0.0092813721233174,0.0,0.2280807148778273,168,2026-03-11T07:32:53.868260+00:00,BULBUL2DAO,0xf230daae38627c46367334a7494dc37861b4d3ef,1.326206822132665,,0.16975284768369606,0.1,45275.676635,0.0,True,False,False,22.0,96350.076779,14.0,96350.076779,66.0,96350.076779,46.0,96350.076779,69.0,0.0,0.514,0.5020325203252033,0.134,0.2607228125811347,216
Hyper5,0x34ad1f870b8a4095a46effb093fa3bf70c121f5e,0x2827ed2c66452690038628423b462900e07fcfb7,3611.550369,0.258251298463705,,2026-01-10T15:18:10.679000+00:00,False,False,0.946727,16.912916,76.086511,611.550369,-13.645656999999916,116.6274308135403,50,0.0260529743812418,0.0408163265306122,0.0,0.0833695180199739,0.3532349109856709,0.5581849761181068,0.2379504993486756,0.0,0.1591698574981249,228,2026-03-11T07:32:53.868260+00:00,Hyper5,0x2827ed2c66452690038628423b462900e07fcfb7,0.25624445571690524,,1.0,0.1,3355.924516,0.0,True,False,False,13.0,3610.959109,13.0,3610.959109,64.0,3610.959109,46.0,3610.959109,44.0,0.0,0.514,0.5020325203252033,0.65,0.2606396695463579,217
Mad Scientists,0x565b1c32936bdaa526947178acc95c5b08cfacc4,0x77eea13a1146a77e637a0a5ec181d0bff8629ab4,14584.932667,1.390346341554079,,2025-06-24T08:46:36.477000+00:00,False,False,-4.854358,246.048699,1555.013117,4455.472667,-454.313131,520.3930501409849,52,0.0082501085540599,0.0217108119843682,0.0,0.0410334346504559,0.6283108988276161,0.7332826747720365,0.0092813721233174,0.0,0.1690371748312477,219,2026-03-11T07:32:53.868260+00:00,Mad Scientists,0x77eea13a1146a77e637a0a5ec181d0bff8629ab4,1.3675275574136947,,0.5646385794806928,0.1,11548.72225,0.0,True,False,False,27.0,14559.411322,14.0,14559.411322,66.0,14559.411322,46.0,14559.411322,46.0,0.0,0.514,0.5020325203252033,0.56,0.2590401575462,218
Agent RockSteady,0xd321ad79041bdad719ba5ff42fe950e1977df439,0x89bd1d5194843cb2358ae4e5fe51e937b7506227,6222.007111,0.2136401274186397,,2026-02-03T09:44:24.383000+00:00,False,False,-27.049995,73.236635,109.115303,168.267111,-93.044378,47.27533641582522,50,0.0275727312201476,0.0320234476769431,0.0,0.1214719930525401,0.46580547112462,0.4597264437689969,0.2379504993486756,0.0,0.1727761220542375,216,2026-03-11T07:32:53.868260+00:00,Agent RockSteady,0x89bd1d5194843cb2358ae4e5fe51e937b7506227,0.1891010204253531,,0.05836559592061327,0.1,3095.526101,0.0,True,False,False,214.0,6209.473922,13.0,6209.473922,62.0,6209.473922,44.0,6209.473922,47.0,0.0,0.514,0.5020325203252033,0.52,0.25784436796344234,219
Hyperliquidity,0x0c9b811d1019258445ca27e022f495a8c8bea533,0xae16f4959428c3e1156b208875953b3f0c1c6947,2008.278279,0.049669674,,2026-03-03T05:49:16.034000+00:00,False,False,0.604299,7.974618,8.278279,8.278279,-7.387516,4.607706256287274,48,0.0365827181936604,0.0513460703430308,0.0,0.1970256187581415,0.3390143291359097,0.2493486756404689,0.8256079027355623,0.0,0.2263117771286464,173,2026-03-11T07:32:53.868260+00:00,Hyperliquidity,0xae16f4959428c3e1156b208875953b3f0c1c6947,0.049013034000000004,,1.0,0.1,681.465829,0.0,True,False,False,14.0,2008.168839,13.0,2008.168839,64.0,2008.168839,23.0,2008.168839,70.0,0.0,0.514,0.5020325203252033,0.114,0.25739610926924905,220
W for Wizz,0x58d56b6021189a3aa143a793fbf7daeec27a1929,0x98ce85f1ec368ee5fce0602b2fec32eec5ede4bb,1934.629247,0.0157313083936319,,2025-12-05T04:09:18.421000+00:00,False,False,0.248148,1.186212,2.532867,26.659247,-4.736979000000001,5.960448539134184,50,0.0403821102909248,0.0522145028224055,0.0,0.1719496309161962,0.3289188015631785,0.2596613113330439,0.2379504993486756,0.0,0.1544354202028974,232,2026-03-11T07:32:53.868260+00:00,W for Wizz,0x98ce85f1ec368ee5fce0602b2fec32eec5ede4bb,0.015731308393631998,,0.057928023689219905,0.1,208.349053,0.0,True,False,False,19.0,1934.629247,13.0,1934.629247,66.0,1934.629247,46.0,1934.629247,44.0,0.0,0.514,0.5020325203252033,0.65,0.2570888415749373,221
Long ETH. Short ETH Layer 2,0x08b320110b0b9eefcd76fa19b82be093370b0bde,0x562d5c53a785504c01279baee34bfffc12d6d4ee,2281.423011,0.3112385484670013,,2026-01-29T15:49:58.228000+00:00,False,False,-9.294628,40.577882,57.676308,81.423011,-87.04675,32.87076750774901,50,0.024533217542336,0.0483065566652192,0.0,0.1411202778983934,0.4538645245332175,0.4205384281372123,0.2379504993486756,0.0,0.1746906209292227,214,2026-03-11T07:32:53.868260+00:00,Long ETH. Short ETH Layer 2,0x562d5c53a785504c01279baee34bfffc12d6d4ee,0.300796857437769,,1.0,0.1,1793.141923,0.0,True,True,False,152.0,2279.488038,13.0,2279.488038,64.0,2279.488038,45.0,2279.488038,48.0,0.0,0.514,0.5020325203252033,0.488,0.2560802421196813,222
"FuturAI Labs - High Sharpe, Low Volatility ",0xb65dd7c56afbf3b272ab5fc49be44b47dca18003,0x92f33bee92dd86db292e3bc8500ffc5619d50430,74291.004633,0.0218060594487989,,2026-02-26T13:03:51.160000+00:00,False,False,9.712982,120.565945,134.754633,134.754633,-215.667898,90.44056187830007,54,0.0397307859313938,0.009552757273122,0.0,0.1286365610073817,0.5588363004776379,0.5299609205384281,0.0020625271385149,0.0,0.1648368728535902,225,2026-03-11T07:32:53.868260+00:00,"FuturAI Labs - High Sharpe, Low Volatility ",0x92f33bee92dd86db292e3bc8500ffc5619d50430,0.02094490765107459,,0.10120072396877779,0.1,73297.54776,0.0,True,False,False,191.0,74285.682984,13.0,74285.682984,61.0,74285.682984,28.0,74285.682984,46.0,0.0,0.514,0.5020325203252033,0.56,0.2558899310629569,223
Crypto Czars - Road to 100k ,0x3eaf61e9ebe3edae184c14841d5bb8203611d96f,0x17b4bf0ab3ce0dc0d42d2d2180230b765f39d471,8502.885147,1.187794025371427,,2026-03-02T19:22:35.576000+00:00,False,False,10.72911,608.827026,765.835147,765.835147,-47.56437,97.794582226583,49,0.0100955275727312,0.0273556231003039,0.0,0.0775075987841945,0.4061007381676074,0.537559704732957,0.5427160225792445,0.0,0.1914239825524019,208,2026-03-11T07:32:53.868260+00:00,Crypto Czars - Road to 100k ,0x17b4bf0ab3ce0dc0d42d2d2180230b765f39d471,1.187794025371427,,0.9169778518127166,0.1,8393.831259,0.0,True,False,False,115.0,8502.885147,13.0,8502.885147,65.0,8502.885147,25.0,8502.885147,55.0,0.0,0.514,0.5020325203252033,0.35,0.25483026333706565,224
Winner,0xe0a17766ffea5549e4a05c52cf0709c9c5372a50,0x23c0697618a0e5226b3b3fe4d4bfc3bda9a7d91e,4136.76866,0.6056942407313357,,2026-03-06T15:28:43.527000+00:00,False,False,180.30568,198.76866,198.76866,198.76866,-58.220684000000006,68.6146681237065,54,0.0178028658271819,0.0384281372123317,0.0,0.1173469387755102,0.4190186712983065,0.5015197568389058,0.0020625271385149,0.0,0.1415421584494532,240,2026-03-11T07:32:53.868260+00:00,Winner,0x23c0697618a0e5226b3b3fe4d4bfc3bda9a7d91e,0.5666070380904011,,0.9745696473926514,0.1,62.493717,0.0,True,False,False,246.0,4123.941543,13.0,4123.941543,42.0,4123.941543,17.0,4123.941543,43.0,0.0,0.514,0.5020325203252033,0.714,0.2538188952598542,225
