leader_detail,fill_count,active_day_count,active_span_days,symbol_count,buy_like_count,sell_like_count,close_count,buy_sell_ratio,avg_abs_fill_size,sum_closed_pnl,positive_close_ratio,first_fill_ts,last_fill_ts
0x865bde7ec5b0bbb0096ffa1b2fc3e955d8bc7e4b,51,4.0,333.0,20.0,27.0,24.0,26.0,1.12,136.35040901960784,25.761236999999998,0.2549019607843137,2025-02-12T20:23:33.093000+00:00,2026-01-10T22:48:03.351000+00:00
0xae8065fa24bc0c5cddd7afaf2d01c1f5951a34ae,1235,235.0,837.0,78.0,428.0,777.0,399.0,0.5514138817480719,4613.357123125113,48518.6048186,0.21781376518218623,2023-11-18T11:03:31.201000+00:00,2026-03-03T08:51:03.671000+00:00
0x98bb9ef6b6bf918ce301be1e3fa14407b1d949a2,295,27.0,258.0,9.0,214.0,76.0,109.0,2.792207792207792,45.8120904367305,1095.2165211299996,0.26101694915254237,2025-06-11T22:54:14.381000+00:00,2026-02-23T20:04:35.061000+00:00
0xe6f96dbdb544a788c323fe36f4b966eeb0edff32,0,,,,,,,,,,,,
0x147b254ff28176bd74a7b58d4edaf7f2bcccb93f,0,,,,,,,,,,,,
0x84f9a33127bc05a31eb342313cd296c5a2e84fa1,0,,,,,,,,,,,,
0x43c63ea7775a4f7ee93fcdd096f4ff92a9fe4054,1831,193.0,712.0,72.0,1351.0,436.0,564.0,3.0938215102974826,2947.045244010137,174415.16287492,0.292190060076461,2024-03-25T21:17:17.776000+00:00,2026-03-06T08:40:41.658000+00:00
0x4f15882ffb864e38b239c10bf7c8e99873c37c72,14,5.0,353.0,3.0,8.0,6.0,1.0,1.2857142857142858,400.1207142857143,274.48586,0.07142857142857142,2025-01-19T13:02:52.009000+00:00,2026-01-06T15:28:10.679000+00:00
0xabd57d2430eb24aa710556434e2bcfefb48d513d,166,17.0,493.0,14.0,86.0,85.0,51.0,1.0116279069767442,201.40539867469877,303.62425634999994,0.16265060240963855,2024-04-21T07:36:44.571000+00:00,2025-08-26T01:56:25.750000+00:00
0x7f4a33fa2f3547f6c1965ae7e4c4fdd5028d3413,2000,22.0,23.0,64.0,1055.0,941.0,927.0,1.1210191082802548,1027.864990905325,-28055.07437696,0.2425,2026-02-13T15:04:11.091000+00:00,2026-03-07T20:33:28.995000+00:00
0x90b88a8df1ad60f87b30032482b9907b89637c96,821,72.0,88.0,17.0,432.0,422.0,356.0,1.0236406619385343,720.7614579171742,7487.382809999999,0.2192448233861145,2024-11-11T14:00:15.848000+00:00,2025-02-06T10:20:19.287000+00:00
0xa380444a9299df2a15bddf949dd493bb6d30d939,329,9.0,239.0,9.0,120.0,213.0,71.0,0.5654205607476636,2048.4504930091184,466.89837298,0.47112462006079026,2025-04-09T19:28:42.735000+00:00,2025-12-03T18:52:43.116000+00:00
0x46a528e63356db1046824782fbbcf3c9c784388c,30,11.0,108.0,7.0,20.0,11.0,15.0,1.75,46.21918799999999,53.375040770000005,0.2,2025-10-26T13:36:24.908000+00:00,2026-02-10T02:03:13.123000+00:00
0x8923cdff38a43d1fd59d323c35b900047e431bac,2000,36.0,108.0,19.0,1695.0,303.0,1027.0,5.578947368421052,882.2369288674516,-34648.88091773,0.2765,2025-10-27T01:00:15.680000+00:00,2026-02-11T04:04:40.007000+00:00
0x6a4590697be32f65757d1fd480716a73961404fd,2000,71.0,385.0,29.0,1078.0,925.0,1179.0,1.1652267818574513,6587.4432217700005,8581.548837,0.312,2025-02-17T17:25:44.766000+00:00,2026-03-08T00:22:43.431000+00:00
0x9fe6fb72a043051cb35d196de5e0804860e0a0a4,520,17.0,404.0,36.0,359.0,161.0,202.0,2.2222222222222223,2409.208105576923,-62.66689413,0.3057692307692308,2024-12-15T19:44:03.997000+00:00,2026-01-22T23:56:59.874000+00:00
0x4c9132a369ca40cd6dadaf7c6dd3f67590b60af5,1416,69.0,248.0,66.0,181.0,1235.0,655.0,0.14724919093851133,29151.93434305085,-1634.1499749999984,0.24152542372881355,2025-04-23T19:32:26.561000+00:00,2025-12-26T19:14:40.581000+00:00
0xa7fd61557cd0a61073566766839d5f851a8e92ef,734,170.0,688.0,63.0,319.0,369.0,93.0,0.8648648648648649,210.27979669492672,-2026.8279958300018,0.31471389645776565,2024-04-20T08:33:27.748000+00:00,2026-03-08T00:54:49.823000+00:00
0x677179fb9012936db4750102f8f49954ee34c5a4,48,7.0,99.0,3.0,43.0,5.0,22.0,7.333333333333333,358.6790070833334,101.96184500000001,0.2916666666666667,2025-01-13T14:20:42.824000+00:00,2025-04-21T00:46:27.465000+00:00
