vault_address,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs
0xa0cbceaac4dc736c457b7c340865695e2b3d0fc9,100x ,0x5dd032fdd7811e98f2d94bd1991f6d730716119e,1.9252521520266783,,0.058756439481040416,0.1,108526.739323,0.0,True,False,False,26,128314.838844,13,128314.838844,63,128314.838844,45,128314.838844,36
0xb7e7d0fdeff5473ed6ef8d3a762d096a040dbb18,Sentiment Edge ,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,0.07618473570423309,,0.15347059360138968,0.1,8494.657271,0.0,True,False,False,14,172067.268152,12,172067.268152,63,172067.268152,45,172067.268152,59
0x82fd2edb5b49f95d785c54043b4a3682cc66caa1,Elsewhere | copy,0xd029e469c2808b1a0e3e89587c4aba7a4456b83e,1.7543169194618609,,0.26946078979118254,0.1,2066.266793,0.0,True,False,False,217,2437.378301,13,2437.378301,63,2437.378301,44,2437.378301,62
0x057236927e2e2c8b3cd595746a051687ba40d1cc,OnDitMerciQui?,0x671ac0f3cd0f450b12c50c5b0891dbc4dac80d73,1.8817777123981383,,0.9952268223330352,0.1,831.175019,0.0,True,False,False,13,1119.790019,13,1119.790019,66,1119.790019,46,1119.790019,72
0x3b4f22366857da94f9346f88eac84718c8a8d48d,Jay Pennies to Jay Dollars,0x20a510e57a5d17fd0a07d4d7435db2854ea5ced0,0.011696951083697008,,0.920748803253206,0.1,174085.036449,0.0,True,False,False,16,174984.526491,13,174984.526491,66,174984.526491,47,174984.526491,53
0x58428d381ee757303234b75545b3fddd6884de0f,Orange Coin Green PNL,0x116666178bd6cb3b27a47760fa36e564fb37b95d,0.39821248236254847,,0.9981787856829434,0.1,2274.294842,0.0,True,False,False,20,3158.059336,13,3158.059336,62,3158.059336,44,3158.059336,50
0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,Wonderland,0x228ed7bff391e92ba3ddcbcda8db7a0134ef2587,9.688225650215788,,0.998969259798382,0.1,78393.154619,0.0,False,False,False,84,162393.771839,13,162393.771839,63,162393.771839,45,162393.771839,43
0x1764dd740aba4195643bbb6a44648e0306b00cfa,Magixbox,0x4f8cc02ec3a1e5670d2f7e2258738729fd36bcd5,2.738982904578754,,0.8639784210409611,0.1,12719.506007,0.0,True,False,False,52,12835.249639,13,12835.249639,64,12835.249639,48,12835.249639,80
0x10a297228eae79617e5873dd924b6aca1ad33c74,Bolivia government fund,0x6f83ab8890ed38bf38a31010aa9a5e9ca743bfad,0.7929082368042729,,0.4967269438988708,0.1,29570.528639,0.0,True,False,False,53,32190.763014,13,32190.763014,65,32190.763014,40,32190.763014,45
0x131ab0c5032079bb9286ffc1828e11d5931e77bb,[ Tachyon ] HYPE ,0xdc6e251c82e1f1ae93a219822f7b39b445028cb7,0.226067495599449,,0.9812825297483316,0.1,51639.740164,0.0,True,True,False,69,52378.377456,13,52378.377456,65,52378.377456,46,52378.377456,34
0x29b98aaf8eeb316385fe2ed1af564bdc4b03ffd6,MOAS,0x3e502cbaf8a3578f06b295b94993caaee5923ffb,0.0107036019637198,,0.9127039767573704,0.1,134958.365002,0.0,True,False,False,84,135871.72723,13,135871.72723,66,135871.72723,47,135871.72723,71
0x0e9552677d5015bc06bb185e14baaa1acdfac7af,SamadiCapital,0x951a8c598ee7aeb291f3024ca65c34264de4d202,0.3442278725553209,,0.08160507118615135,0.1,0.0,0.0,True,False,False,12,1120.341548,13,1120.341548,66,1120.341548,32,1120.341548,53
0xc305d42209e322fda5a090ebcc547c8480079dfd,Winners average winners,0xf49ec27f278295b94d7c3badaaa954f0af278fe0,0.0,,1.0,0.1,901.993136,0.0,True,False,False,13,1001.993136,13,1001.993136,63,1001.993136,46,1001.993136,36
0x7e2f88a4a337e1b86126f3c1e20cb1e5ccbb6120,Quebi - Apex One,0x10c8d5127153f1a4a9b30356302556be3020d75c,0.0,,0.9999999998926188,0.1,1502.259727,0.0,True,False,False,109,1602.259727,13,1602.259727,62,1602.259727,45,1602.259727,58
0x257acedf61ffd72abfcde8332a13a1d015930051,[ Sidelined ] Market Neutral 2: BTC Maxi,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,0.19163783419749308,,0.8484907027554243,0.1,28687.285564,0.0,True,False,False,167,31896.979358,13,31896.979358,65,31896.979358,47,31896.979358,40
0xae08a2282d969bd0c4bf63a626ab8f8e6200022d,Storm,0x70e424703f5e8e7237ccdf04b4908379942b26a5,0.4200716027081262,,1.0,0.1,18335.493811,0.0,True,True,False,242,31337.415202,13,31337.415202,63,31337.415202,46,31337.415202,44
0xc1703054b55bfa1ac6dbaf25cb1c783ca133181f,Momentum Edge,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,0.002065781206709624,,0.8294059883992221,0.1,335.962718,0.0,True,False,False,13,6740.754429,13,6740.754429,64,6740.754429,46,6740.754429,51
0xea36a5da68aaeea14f421cdfaaa85dee6b33529b,Crypto NiuNiu,0xde5e7b7d9d26a44767e2e4a49fcb8447f4553d36,3.3302074172565073,,0.9952530741580685,0.1,941.313366,0.0,True,True,False,106,1041.790323,13,1041.790323,64,1041.790323,46,1041.790323,41
0xf6d2c67b2c262d2cf2422fe88fd55782308b1015,cubee38,0x6bcccbcc8dca2669f6e5d00f9a8500fb5f146cd5,1.3962694026375155,,0.9999999998577284,0.1,995.981811,0.0,True,False,False,37,1218.468098,13,1218.468098,65,1218.468098,45,1218.468098,63
0x8bb033130be354eed1110ce7228d7095f001d9fe,HyperNeutral #1,0xc6a06131c84c0c9d2d4c293c349be0c6d5112893,0.1750864340040569,,0.08629912688554367,0.1,15501.940691,0.0,True,False,False,53,71048.027814,13,71048.027814,63,71048.027814,44,71048.027814,44
0x4dec0a851849056e259128464ef28ce78afa27f6,pmalt,0x526178b96c8c5d7a4e4f76f298ec0170aa0d1d2a,3.235935337090938,,0.14272342383873587,0.1,426410.408601,0.0,True,False,False,21,575541.314601,21,575541.314601,60,575541.314601,45,575541.314601,76
0x4f5bbfe763c8ba4a8ea59e15d93d31e31a3a1631,Solus Capital,0x4beba892edeff53be0e17820829f8017ca6e3699,1.251369125289726,,0.9992956534827764,0.1,28295.04401,0.0,True,False,False,119,28395.114494,13,28395.114494,62,28395.114494,44,28395.114494,33
0xae6b807ec47e0b7900d1fe2a53885b4602748b03,VaultBot V2,0x1d6dcb838d0edc5d7bf09e5c658adbfb19a7234b,0.5874053710211972,,0.21808118392485815,0.1,110058.776044,0.0,True,False,False,236,110635.614894,13,110635.614894,64,110635.614894,31,110635.614894,49
0x72051340b0c62bc34a9557ededf2ea144913b0ec,[ Sidelined ] Discretionary 1,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,0.0,,0.9946704658971718,0.1,2143.564554,0.0,True,False,False,147,2244.100363,13,2244.100363,62,2244.100363,44,2244.100363,39
0x7134175861043316e15465c73374518bfe78ee50,DSV,0x6bc241d88994c48f8af241b7f36d07dae902eafc,0.0,,1.0,0.1,900.12747,0.0,True,False,False,22,1000.12747,13,1000.12747,63,1000.12747,44,1000.12747,42
0xd5ba7b812a861811f9b1aaac3c9cb4134e9ec6ae,Pew pew,0xd9c2eb244530bc6387b8434417d4e4c5a5d10672,0.5568986903161699,,0.2735748156179085,0.1,2334.655197,0.0,True,False,False,17,2700.185919,13,2700.185919,65,2700.185919,46,2700.185919,34
0x8fafc23611d59310b957162b8479f354c5a0eb4d,RedCoast,0x67ecb94f32c61ae197fa6915276c723a89bf3ac3,0.8756859382361202,,0.9067800753763676,0.1,102716.464085,0.0,True,False,False,114,116802.214557,13,116802.214557,62,116802.214557,45,116802.214557,44
0xf9c7f25adabc40c6ed5a53b018ab0175f9f38c30,Smart Swing Concepts,0x3a5401ea61d6b242e2e6e99553a94722a36bd629,0.696356952,,1.0,0.1,2016.059492,0.0,True,False,False,33,2116.059492,13,2116.059492,64,2116.059492,21,2116.059492,64
0xb0a55f13d22f66e6d495ac98113841b2326e9540,HLP Liquidator 2,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,2.2996e-05,,1.0000000000000007,0.0,29999900.0,0.0,True,False,False,177,30000000.0,13,30000000.0,64,30000000.0,46,30000000.0,52
0x5ce0ce4387679de0335a3e8a1c9a7abb4f150a71,Bunny,0x51a8f30ac5b08a8ebf4ccb702a7df102a4e56439,0.007966185830929154,,1.0,0.1,1288.691247,0.0,True,False,False,13,2001.317691,13,2001.317691,61,2001.317691,23,2001.317691,65
0xa5b1bf0579eb8463be37f5496e3e8878a63c5da2,UpDown Fund,0x6eefbfb09cdc6d0e44130b6ee355c61352b5ac96,0.08592288814539509,,0.9425243081465242,0.1,2498.205737,0.0,True,False,False,24,2693.675988,13,2693.675988,63,2693.675988,45,2693.675988,50
0x4078582c42fdb547b1397fabb5d5a4beab81be9e,Hyperdash Vault #1,0xe966a12bf7b93838096e4519a684519ab22df618,1.1733300737680756,,0.2240739982268922,0.1,126598.888803,0.0,True,False,False,171,137718.853931,13,137718.853931,66,137718.853931,47,137718.853931,65
0x1fec994c4dd99e126643698ae6b3253cef5ff3d6,Picking Winners,0x2d716aaa439385ca5264c5d254fed93fe1523985,0.9380187395804104,,0.983551963082788,0.1,73772.156754,0.0,False,True,False,220,143164.748115,13,143164.748115,66,143164.748115,47,143164.748115,34
0x21edf2d791f626ee69352120e7f6e2fbb0f48cf1,AILAB TEST URTRA',0x4692441b5a9e26a690eea6d2f36139679add737b,0.03218379800146458,,0.7276174405975243,0.1,328994.156326,0.0,True,False,False,249,412355.896472,13,412355.896472,66,412355.896472,47,412355.896472,44
0x86b41571425e833968778ece4e8a4d89d67c69b3,BTCbotic,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,0.0,,0.3902250675720466,0.1,2141.850719,0.0,True,True,False,170,2398.113087,13,2398.113087,62,2398.113087,44,2398.113087,39
0xf2f503be514a09ed4a712be7f8f7a2b6ac91e724,sexy pairs,0x4577d927a39ea40c024ad81c0ce15959176346c7,0.8400887682352941,,1.0,0.1,1878.975788,0.0,False,False,False,14,3638.025151,13,3638.025151,65,3638.025151,34,3638.025151,53
0x697bc3dd77539fa84156d0e1c95287ea5524fd6b,Probot 5/9/12,0xce741d86bff090a94740f81a80bbb6a335e0271e,3.2631509473286764,,0.10249269772537656,0.1,24846.079391,0.0,True,False,False,182,37559.207419,13,37559.207419,61,37559.207419,46,37559.207419,43
0xa04cc046c32dc706c65324ae6352d3d78e0c2013,Templo Capital 2,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,4.027724198102803,,0.5931006411414794,0.1,40253.13948,0.0,False,False,False,48,40421.744929,13,40421.744929,63,40421.744929,45,40421.744929,46
0x71a8314c2a2bbefeaf3171b6100864903110d395,High IQ tec,0x417e8accdf7707af31c581d0325382580ad58dbd,2.3825043278688525,,0.999999999252269,0.1,300.247054,0.0,True,False,False,11,1081.375955,13,1081.375955,62,1081.375955,34,1081.375955,42
0x4944589914a1ddef29f5f1f2094cfa212a3a3d20,AI ATM,0xaf253ebf2c4fea2858df3cf89e46939a96877e5c,1.0654855248367006,,1.0,0.1,729.502333,0.0,True,False,False,38,8601.009121,13,8601.009121,61,8601.009121,23,8601.009121,63
0x4d0f0bf1172e9e5a6710edf500c920a151555ac2,Trader Gaul,0x4842dcb1c7d108a91781305d8ea233ceebdba8e3,0.4003765950192754,,0.8478216310728028,0.1,1206.123529,0.0,True,False,False,24,1324.072867,13,1324.072867,61,1324.072867,44,1324.072867,50
0x5f116edf56d2bdf6fd9a07990b3d1dcd028e2c16,Agartha Capital Partners,0xa9f849dc1921a20ed448f30821ee1980add8a507,5.723949282291722,,0.5033462294492778,0.1,891.61056,0.0,True,False,False,145,2049.335473,13,2049.335473,60,2049.335473,46,2049.335473,45
0x43eabf1421922d658e80cb5f7c4a65e6cfc697e1,Wall777,0x19d4dc60d8f726e1c7eb513a82f631694c4437c8,0.45559499250360136,,0.11713858563833252,0.1,34204.881993,0.0,False,False,False,13,55304.081993,13,55304.081993,61,55304.081993,44,55304.081993,42
0x9b5b1931fa5838a891973f9877c7648c93ee80cc,Growi HF-2,0x7789450871fb1315fa982ccb8039cb34e8f2f60d,4.003474567576633,,0.39392057404752734,0.1,307928.030676,0.0,False,False,False,244,320690.679192,13,320690.679192,63,320690.679192,45,320690.679192,57
0xda51323fe9800c8365646ad5c7ade0dd17fdc167,Citadel,0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.6564615549401789,,0.2304074134295833,0.1,596091.463538,0.0,True,False,False,67,596525.477351,13,596525.477351,61,596525.477351,46,596525.477351,72
0xac9eac820f3f9d31bd52111e00553a4ab2797994,OnFOMO.com,0xb838e4d1c8bcf71fa8e63299d5aa3258c83d6adb,3.843265091470948,,0.12483800414114173,0.1,23967.66575,0.0,True,False,False,64,42295.28806,13,42295.28806,63,42295.28806,46,42295.28806,47
0xa877d8ba0fc2f3facd95c73acd24a44ab1ae2838,Profit Gambit,0xc2cdf392ce2a67df8773493a2f12f17db16a98bb,0.7360313092098766,,0.3831955223658055,0.1,2058.929188,0.0,True,False,False,154,2319.892571,13,2319.892571,63,2319.892571,45,2319.892571,45
0xd2f03635901956b950737bbf02463dfad9f2e9e1,Gucky_1coin_1dot5x,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,1.0270695260270912,,0.05133191794201447,0.1,75743.449385,0.0,True,True,False,182,100699.070997,13,100699.070997,64,100699.070997,46,100699.070997,64
0x3bd6460a3782a80fa9331e65e4c2952795a86228,500 to 1M,0xfdfb306dbff80664bd1f61699089ddead7d7dbb9,12.05323102825922,,0.9999999999320133,0.1,100322.239551,0.0,False,False,False,46,100422.239551,13,100422.239551,67,100422.239551,49,100422.239551,82
0x026a2e082a03200a00a97974b7bf7753ce33540f,Sentiment Edge,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,0.0006695398495147698,,0.24863015656452364,0.1,5407.753468,0.0,True,False,False,68,109877.619681,13,109877.619681,65,109877.619681,47,109877.619681,63
0x2ed5c4484ea3ff8b57d5f2fb152a40d9f2b68308,HLP Liquidator 4,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0.0,,0.9999999999999997,0.0,999900.0,0.0,True,False,False,184,1000000.0,13,1000000.0,66,1000000.0,47,1000000.0,33
0x18117bdae1396d2e7cb9c57193c46da096e217dc,COPE AND SEETHE HEDGE FUND INU,0xc656523bb3324b11eb83f431f467468bddf88eb5,3.1569969970372855,,0.4363484586624235,0.1,9514.09614,0.0,True,False,False,25,12019.465964,13,12019.465964,63,12019.465964,31,12019.465964,51
0xdda7f4805dfdf145a74cd68992d90780f73cf6c7,Gen Wealth Algo,0x742052556204359dc1e7d9a13fd87a420809028c,1.2954730265547312,,0.7851581060260588,0.1,4858.038796,0.0,True,False,False,153,5276.512492,13,5276.512492,64,5276.512492,42,5276.512492,47
