name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc
YEELON,0xf6f3d773e11023e3e686cbda883ecba631fefc15,0x05420ff3c26c463c4e253bb8d0b92d24a467b4b1,19618.669876,0.0,,2025-01-16T13:33:38.583000+00:00,False,False,0.0,0.0,0.0,9105.449876,-3552.774272,2396.22488929069,49,0.4912613981762918,0.018671298306556665,0.0,0.029526704298740773,0.8193660442900564,0.8665870603560574,0.5427160225792445,0.0,0.37436471203568467,67,2026-03-11T07:32:53.868260+00:00
ML-Trader Vault 1,0xb48526e72b11614df47f38be22c7a466adc19efd,0x301b2a671b241923936f75b07c8f858cf79b4a6c,19902.290152,0.0,,2025-08-19T15:56:09.865000+00:00,False,False,0.0,0.0,0.0,25.620152,-7813.245546,2613.9284809908513,51,0.4912613981762918,0.018562744246634823,0.0,0.17314372557533653,0.8787451150673035,0.8731003039513677,0.05856491532783326,0.0,0.36065482769510127,68,2026-03-11T07:32:53.868260+00:00
AJ Pro,0x8f78da3fdb3b1dd3eb02529a802a02855d950746,0xa14f74d2fff09fa55e0358babf83220ee6df22dd,13070.851602,0.0,,2025-01-22T02:42:41.268000+00:00,False,False,0.0,0.0,0.0,3279.121602,-6663.141753,3171.0727004104133,50,0.4912613981762918,0.022796352583586626,0.0,0.04743812418584455,0.8676726009552758,0.887320885801129,0.23795049934867565,0.0,0.35311895551257255,69,2026-03-11T07:32:53.868260+00:00
brrr,0x37e6d89f26ccecf356c3255d1af8cf97f17fc54f,0x4fd0ff2c49671d4fe1927371cf833e8b3b7f44ea,4335.107935,0.0,,2025-02-12T21:20:52.225000+00:00,False,False,0.0,0.0,0.0,2159.687935,-3573.998712,1423.8317856557767,50,0.4912613981762918,0.03745115067303517,0.0,0.0541684759009987,0.8198002605297439,0.8270733825445071,0.23795049934867565,0.0,0.345641061066593,70,2026-03-11T07:32:53.868260+00:00
nukers on top,0x6010343185f04f99df5f8f4bcc949017c383b2c6,0xe6626effae4ff622b2ae03adb4b00aaca5d537f6,205508.471814,4.451974767793884,,2026-03-04T17:28:22.773000+00:00,False,False,-6839.66269,55611.471814,55611.471814,55611.471814,-135142.058403,43668.416431931546,47,0.001411202778983934,0.005536257056013895,0.0,0.011289622231871473,0.9816543638732088,0.9804602692140686,0.9681393834129396,0.0,0.33702951683574783,71,2026-03-11T07:32:53.868260+00:00
Shorting,0xf0286a17a720c260c53119757166a4358ab3e422,0xf3cac0bde469b42a349ed0ce994a90e7c4a2c606,17756.658618,0.0,,2024-06-29T01:58:11.960000+00:00,False,False,0.0,0.0,0.0,208691.928618,-0.006626999995205551,62607.58079440003,48,0.4912613981762918,0.01910551454624403,0.0,0.004125054277029961,0.2542336083369518,0.9852366478506296,0.8256079027355623,0.0,0.334550043421624,72,2026-03-11T07:32:53.868260+00:00
[QR] I-3XAPEX20 VTF (INVERSE LEVERAGE INDEX/ETF),0xccbd99f3948e7413ebdc3a6eb2d0cc04321d8bec,0x4f15882ffb864e38b239c10bf7c8e99873c37c72,1847.989438,0.0,,2024-11-25T07:42:38.105000+00:00,False,False,0.0,0.0,0.0,837.829438,-2.544585999999981,182.74912122499939,48,0.4912613981762918,0.05319148936170213,0.0,0.07533651758575771,0.3184976118106817,0.6158271819366045,0.8256079027355623,0.0,0.3328871925946394,73,2026-03-11T07:32:53.868260+00:00
HLP Strategy A,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,121511960.790034,0.01695873107067667,,2023-05-04T23:39:58.416000+00:00,False,False,-13746.82828,53444.007858,-385187.090128,5020522.070034,-7014131.276225,3122450.684885349,48,0.040165002171081196,0.00021710811984368216,0.0,0.0004342162396873643,0.9998914459400782,0.9994572297003907,0.8256079027355623,0.0,0.3302991651205937,74,2026-03-11T07:32:53.868260+00:00
[ Systemic Strategies ] ♾️ HyperGrowth ♾️,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x2b804617c6f63c040377e95bb276811747006f4b,7646235.884137,1.065364379530835,,2025-08-29T22:17:22.629000+00:00,False,False,93857.478368,797680.215448,623482.599629,2728753.854137,-1317750.425134,897437.715174738,48,0.011289622231871473,0.0005427702996092054,0.0,0.0005427702996092054,0.9980460269214069,0.9991315675206253,0.8256079027355623,0.0,0.32354660916591005,75,2026-03-11T07:32:53.868260+00:00
Not In Employment Education or Training,0x4cb5f4d145cd16460932bbb9b871bb6fd5db97e3,0xbd9c944dcfb31cd24c81ebf1c974d950f44e42b8,6001937.645997,3.4401972330772006,,2025-11-17T16:42:47.693000+00:00,False,False,-201208.193934,499394.260132,1337278.855391,2340274.125997,-218988.32662299997,288982.8140344414,48,0.0023881893182805037,0.0007598784194528875,0.0,0.0006513243595310464,0.9872991749891445,0.9957663916630481,0.8256079027355623,0.0,0.3198212312004105,76,2026-03-11T07:32:53.868260+00:00
[ Sidelined ] Discretionary 1,0x72051340b0c62bc34a9557ededf2ea144913b0ec,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,2244.100363,0.0,,2025-09-05T15:17:26.357000+00:00,False,False,0.0,0.0,0.0,60442.070363,-8.517108000000007,17672.71242239238,49,0.4912613981762918,0.048849326964828486,0.0,0.00998697351280938,0.34259661311333045,0.9611376465479808,0.5427160225792445,0.0,0.31967813721233174,77,2026-03-11T07:32:53.868260+00:00
haerin capital llc,0x38d7165450a497f37f01a61a6b603cf0d17c052b,0x1dc7af8739c02b757ac9b3ba92ab561de7e3af25,1121.021408,0.0,,2025-02-06T03:20:09.764000+00:00,False,False,0.0,0.0,0.0,676.501408,-512.362495,279.81987797696854,50,0.4912613981762918,0.06046461137646548,0.0,0.08033000434216239,0.6401432913590969,0.6692357794181503,0.23795049934867565,0.0,0.31744661113962025,78,2026-03-11T07:32:53.868260+00:00
Simpfor.fun-1,0x867eb0b917a3082651d07090d6107f9690b605d6,0x2cb9c5a32cc7a3bd09f81d8748fa6999ecde263f,10534.076175,0.0,,2025-07-23T03:53:25.258000+00:00,False,False,0.0,0.0,0.0,331.956175,-537.744812,277.789386735421,50,0.4912613981762918,0.024424663482414243,0.0,0.10301780286582718,0.6452453321754233,0.6681502388189319,0.23795049934867565,0.0,0.3158281687916946,79,2026-03-11T07:32:53.868260+00:00
ChanLun Delta Neutral Vault,0xa152d6bed00ba8132c23d33ce5ac32d749ab7cdb,0xe5417cbec1d9d3cdbf53e37eaf1b9529900c274b,10615.363516,1.05795558100625,,2025-08-15T05:35:33.736000+00:00,False,False,51.969483,152.441639,2514.24538,532.403516,-2485.38506,798.503118796656,47,0.011398176291793313,0.02420755536257056,0.0,0.08771168041684758,0.7901650021710812,0.7743161094224924,0.9681393834129396,0.0,0.31563449848024316,80,2026-03-11T07:32:53.868260+00:00
30 Under 30,0x217106b611164c8cb27686ce9aa7dc3d6f0e1aae,0x14992c7298c267b14da9e3832a94346952d6c435,1067.69856,0.0,,2024-12-18T03:56:51.576000+00:00,False,False,0.0,0.0,0.0,411.82856,-873.515727,461.637573267407,51,0.4912613981762918,0.06144159791576205,0.0,0.09552757273122015,0.6951801997394702,0.7227529309596179,0.05856491532783326,0.0,0.31308594520980537,81,2026-03-11T07:32:53.868260+00:00
Crypto Plaza Relative Momentum Edge,0xdc9955a83218b71713a83ee072055591bd4c7304,0x9d07e3406d3e7ec5e19b6804f6f821f684c9339c,7737.098255,2.3487272852749768,,2025-05-27T14:19:24.518000+00:00,False,False,246.513914,1500.986749,1459.012835,1680.088255,-7836.983469,2305.7590748824105,48,0.00401650021710812,0.028441163699522362,0.0,0.05937907077724707,0.8791793313069909,0.8637646547980895,0.8256079027355623,0.0,0.3124568250898039,82,2026-03-11T07:32:53.868260+00:00
Winners average winners,0xc305d42209e322fda5a090ebcc547c8480079dfd,0xf49ec27f278295b94d7c3badaaa954f0af278fe0,1001.993136,0.0,,2025-10-10T20:45:46+00:00,False,False,0.0,0.0,0.0,1.993136,-23.716762,10.096008310530069,49,0.4912613981762918,0.06328701693443335,0.0,0.21222318714719932,0.3744029526704299,0.2883195831524099,0.5427160225792445,0.0,0.31176602652666485,83,2026-03-11T07:32:53.868260+00:00
TROLOLOLOL,0xa7ed03d702d1c3fae1d3554295b2a13df54219f4,0x67699d2d3940f4db8fe5f683fbd6b6c27df1610b,10365.246373,0.43829564760000006,,2026-02-13T08:29:01.500000+00:00,False,False,-237.183528,814.244825,365.246373,365.246373,-1098.173711,754.142565394117,47,0.020516717325227963,0.024750325662179766,0.0,0.09900130264871906,0.7214502822405559,0.7692140686061659,0.9681393834129396,0.0,0.3105497276279951,84,2026-03-11T07:32:53.868260+00:00
HyperSolid BTC 1D,0x82832a7d0c07d93ed6ba586ba5e2aa57d198bac5,0x9220d2abaa05ca8d1d4e407319d61c0d9fbef8f5,16594.677844,0.0,,2025-08-26T21:24:57.242000+00:00,False,False,0.0,0.0,0.0,79.627844,-303.758821,147.30251452540506,50,0.4912613981762918,0.019756838905775075,0.0,0.14177160225792446,0.5902084237950499,0.5894485453755971,0.23795049934867565,0.0,0.3090213358070501,85,2026-03-11T07:32:53.868260+00:00
BTCbotic,0x86b41571425e833968778ece4e8a4d89d67c69b3,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,2398.113087,0.0,,2025-09-12T16:43:25.157000+00:00,False,False,0.0,0.0,0.0,388.243087,-18.311576000000002,114.28651416137738,49,0.4912613981762918,0.04732957012592271,0.0,0.09715588363004776,0.3634389926183239,0.5557967867998264,0.5427160225792445,0.0,0.30517136738641304,86,2026-03-11T07:32:53.868260+00:00
Shezhea / Genesis Epoch 0,0xfb9a5551f960a4128075e7b1a250c4980497f0f5,0x8027686e6e4b4e36da38ce6d89a35d634fb031e3,2641.745106,0.0,,2024-02-14T01:25:43.841000+00:00,False,False,0.0,0.0,0.0,480.385106,-238.04866399999997,214.78283359280303,50,0.4912613981762918,0.04537559704732957,0.0,0.09183673469387756,0.5661094224924013,0.6337386018237082,0.23795049934867565,0.0,0.30365284411636995,87,2026-03-11T07:32:53.868260+00:00
